department,region,education,gender,recruitment_channel,Training_Time,age,Performance_Rating,Years_at_company,Working_Hours,Flexible_Timings,Workload_level,Monthly_Income,Work_Satisfaction,Percent_salary_hike,companies_worked,Marital_Status,Stress_status,Results
Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,8,Yes,Low,30000,No,20,2,Yes,Yes,1
Operations,region_22,Bachelor's,m,other,1,30,5.0,4,6,Yes,Low,45000,No,30,4,Yes,No,0
Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,9,No,High,34000,No,15,5,No,Yes,1
Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,10,No,High,60000,Yes,30,4,No,Yes,1
Technology,region_26,Bachelor's,m,other,1,45,3.0,2,7,No,Low,35000,No,14,3,No,No,0
Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,8,Yes,High,25000,Yes,15,4,Yes,Yes,1
Operations,region_20,Bachelor's,f,other,1,31,3.0,5,5,Yes,Low,67000,No,17,5,Yes,Yes,1
Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,8,No,High,78300,Yes,18,6,No,Yes,1
Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,9,Yes,Low,56000,No,25,7,Yes,No,0
Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,10,No,High,45000,No,30,4,No,Yes,1
Technology,region_23,Bachelor's,m,sourcing,1,30,6.0,1,6,Yes,Low,43000,Yes,32,6,Yes,Yes,1
Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,7,Yes,High,45000,Yes,23,7,Yes,Yes,1
Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,4,Yes,Low,30000,No,21,8,Yes,Yes,1
Technology,region_29,Master's & above,m,other,2,39,3.0,16,7,No,High,45000,Yes,24,4,No,Yes,1
R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,8,Yes,High,45000,No,21,5,Yes,Yes,1
Operations,region_7,Bachelor's,m,other,1,37,1.0,10,5,No,High,50000,Yes,30,4,No,No,0
Technology,region_2,Bachelor's,m,other,1,38,3.0,5,8,No,Low,34000,No,25,5,No,No,0
Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,9,No,Low,45000,Yes,24,6,No,Yes,1
Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,8,Yes,Low,45000,Yes,26,4,Yes,Yes,1
Operations,region_15,Bachelor's,m,other,1,37,3.0,9,7,No,High,30000,No,30,3,No,No,0
Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,9,Yes,High,20000,Yes,19,6,Yes,Yes,1
Operations,region_15,Bachelor's,m,sourcing,1,41,4.0,11,10,Yes,High,25000,No,15,4,Yes,Yes,1
Finance,region_11,Bachelor's,f,other,1,28,3.0,4,9,No,Low,45000,No,20,3,No,Yes,1
Procurement,region_5,Bachelor's,m,other,1,27,3.33513425016372,1,8,No,High,45000,Yes,30,5,No,Yes,1
Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,6,Yes,High,53000,No,25,6,Yes,Yes,1
